LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,Species2_eBird,Specimen.number,n_specimens
San Carlos,"Equatorial Guinea, Equatorial Guinea",,,3.457938,8.551534,yes,,,,,Eurillas curvirostris,"1963-996, 1963-1001",2
Victoria,"Cameroon, Cameroon",,,4.013215,9.22067,yes,,,,,Eurillas curvirostris,"1966.16.985, 1966.16.972",2
Enugu,"Nigeria, Nigeria",,,6.435113,7.499314,yes,,,,,Eurillas gracilis,"1966.16.1087, 1966.16.1089",2
"Mamu Forest, Onitsha Province",Nigeria,,,6.361278,6.86069,yes,Low(37),Unavailable,,"6.149779,6.78569,ONITSHA|Unavailable|Unavailable|Low(37),6.1667,6.7833,ONITSHA|Unavailable|Unavailable|Low(37),6.437746,6.975491,MAMU|Unavailable|Unavailable|Low(34),6.361278,6.86069,MAMU|Unavailable|Unavailable|Low(34),7.083333,3.916667,MAMU|Unavailable|Unavailable|Low(34)",Eurillas gracilis,1966.16.1083,1
"Nibo, Nsukka",Nigeria,,,6.819863,7.168023,yes,Low(36),Unavailable,,"6.853294,7.34801,NSUKKA|Unavailable|Unavailable|Low(36),6.856543,7.385977,NSUKKA|Unavailable|Unavailable|Low(36),6.819863,7.168023,NIBO|Unavailable|Unavailable|Low(34),6.171972,7.067359,NIBO|Unavailable|Unavailable|Low(34)",Eurillas gracilis,1966.16.1084,1
"Basoala, Fernando Po (now Bioko)","Equatorial Guinea, Equatorial Guinea",,,3.654233,8.9197,yes,,,,,Eurillas latirostris,"297634, 297630",2
"Bitye, River Dja, South Region",Cameroon,,,3.016667,12.366667,yes,Low(42),Unavailable,,"2.75,11.583333,SOUTH REGION|Unavailable|Unavailable|Low(42),2.5,11.75,SOUTH REGION|Unavailable|Unavailable|Low(42),3.016667,12.366667,BITYE|Unavailable|Unavailable|Low(35),2.75,11.583333,SOUTH|Unavailable|Unavailable|Low(35),2.5,11.75,SOUTH|Unavailable|Unavailable|Low(35),4.466667,14.416667,DJA|Unavailable|Unavailable|Low(33),5.483333,12.35,DJA|Unavailable|Unavailable|Low(33),2.433333,12.4,DJA|Unavailable|Unavailable|Low(33),2.033333,15.2,DJA|Unavailable|Unavailable|Low(33),5.3,12.233333,DJA|Unavailable|Unavailable|Low(33),3.816667,12.7,DJA|Unavailable|Unavailable|Low(33)",Eurillas latirostris,567517,1
"Clarence Mountain, Fernando Po (now Bioko)",Equatorial Guinea,,,3.5833,8.75,yes,Low(41),Unavailable,,"3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5833,8.75,BIOKO|Unavailable|Unavailable|Low(35),3.350442,8.662766,BIOKO|Unavailable|Unavailable|Low(35),3.5,8.7,BIOKO|Unavailable|Unavailable|Low(35)",Eurillas latirostris,567522,1
"Dilemme, Westkamerun",Cameroon,,,4.038906,9.190547,yes,Low(24),,,"6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Eurillas latirostris,1968-760,1
"Lager VI, Isobi nahe Bibumti, Westseite Kamerungebirge",Cameroon,,,4.184475,9.001821,yes,Low(35),,,"4.120682,8.992438,ISOBI|Unavailable|Unavailable|Low(35),6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Eurillas latirostris,1961-1270,1
"M'balnayo, Kamerun",Cameroon,,,3.509153,11.504457,yes,Low(37),,,"6,12,KAMERUN|Unavailable|Unavailable|Low(37)",Eurillas latirostris,1954-1086,1
"Nyasoso Kupe, Westkamerun",Cameroon,,,4.8277,9.6811,no,Low(37),unavailable,,"4.8277,9.6811,NYASOSO|Unavailable|Unavailable|Low(37),4.7571,9.6854,KUPE|Unavailable|Unavailable|Low(34),6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Eurillas latirostris,1968-751,1
Ebolowa,Cameroon,,,2.9,11.15,no,High(82),unavailable,,"2.9,11.15,EBOLOWA|Unavailable|Unavailable|High(82),3.9,11.9,EBOLOWA|Unavailable|Unavailable|High(82),2.9,11.15,EBOLOWA|Unavailable|Unavailable|High(82)",Eurillas virens,388170,1
"Kimpoko, Zaire, Murashiya-Tshinyanye, Ngala-Kuhuma",Democratic Republic of the Congo,,,-4.234444,15.550278,no,Low(37),unavailable,,"-4.234444,15.550278,KIMPOKO|Unavailable|Unavailable|Low(37),-4.202222,15.551667,KIMPOKO|Unavailable|Unavailable|Low(37),0,25,ZAIRE|Unavailable|Unavailable|Low(35)",Eurillas virens,1979.716,1
Kribi,Cameroon,,,2.95,9.916667,no,High(80),unavailable,,"2.95,9.916667,KRIBI|Unavailable|Unavailable|High(80),2.933333,9.9,KRIBI|Unavailable|Unavailable|High(80),2.9333,9.9,KRIBI|Unavailable|Unavailable|High(80)",Eurillas virens,348736,1
"Lager IV, nahe dem Koto-Baromli-See, Nordseite, Kamerungebirge",Cameroon,,,4.46486,9.266765,yes,Low(34),,,"4.183333,9.633333,KOTO|Unavailable|Unavailable|Low(34),4.6902,9.1986,KOTO|Unavailable|Unavailable|Low(34),4.0957,9.7572,KOTO|Unavailable|Unavailable|Low(34),9.933333,13.85,DEM|Unavailable|Unavailable|Low(33),7.416667,15.383333,DEM|Unavailable|Unavailable|Low(33),4.233333,14.55,SEE|Unavailable|Unavailable|Low(33),9.770191,13.736678,DEM|Unavailable|Unavailable|Low(33),4.466667,14.433333,DEM|Unavailable|Unavailable|Low(33),4.25,13.8,DEM|Unavailable|Unavailable|Low(33),6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Eurillas virens,1961-1314,1
"Lager IV, nahe dem Koto-Barumbi-See, Nordseite, Kamerungebirge",Cameroon,,,4.468454,9.26316,yes,Low(34),,,"4.183333,9.633333,KOTO|Unavailable|Unavailable|Low(34),4.6902,9.1986,KOTO|Unavailable|Unavailable|Low(34),4.0957,9.7572,KOTO|Unavailable|Unavailable|Low(34),9.933333,13.85,DEM|Unavailable|Unavailable|Low(33),7.416667,15.383333,DEM|Unavailable|Unavailable|Low(33),4.233333,14.55,SEE|Unavailable|Unavailable|Low(33),9.770191,13.736678,DEM|Unavailable|Unavailable|Low(33),4.466667,14.433333,DEM|Unavailable|Unavailable|Low(33),4.25,13.8,DEM|Unavailable|Unavailable|Low(33),6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Eurillas virens,1961-1311,1
"Lager VI, Isobi nahe Bibumti, Westseite Kamerungebirge",Cameroon,,,4.120682,8.992438,no,Low(35),unavailable,,"4.120682,8.992438,ISOBI|Unavailable|Unavailable|Low(35),6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Eurillas virens,1961-1273,1
"Lager VI, Isobi, nahe Bibumli, Westseite Kamerungebirge",Cameroon,,,4.120682,8.992438,no,Low(35),unavailable,,"4.120682,8.992438,ISOBI|Unavailable|Unavailable|Low(35),6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Eurillas virens,1961-1312,1
Ncongsamba District,"Cameroon, Cameroon",,,4.976209,9.921497,yes,,,,,Eurillas virens,"415428, 415427",2
"Ndundulu Forest Reserve, Udzungwa Mts, Kilolo District; Iringa Region, Tanzania",United Republic of Tanzania,,,-7.743429,36.203281,yes,Low(43),Unavailable,,"-7.85,35.55,IRINGA REGION|Unavailable|Unavailable|Low(43),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-1.816667,33.383333,IRINGA|Unavailable|Unavailable|Low(36),-8,35.85,KILOLO|Unavailable|Unavailable|Low(36),-7.766667,35.7,IRINGA|Unavailable|Unavailable|Low(36),-7.743429,36.203281,KILOLO|Unavailable|Unavailable|Low(36),-7.516829,35.2284,IRINGA|Unavailable|Unavailable|Low(36),-7.85,35.55,IRINGA|Unavailable|Unavailable|Low(36)",Eurillas virens,2012.175,1
"Uluguru North Forest Reserve, Muomero District, Morogoro Region, Tanzania","United Republic of Tanzania, United Republic of Tanzania",,,-6.8813,37.714297,yes,,,,,Eurillas virens,"2012.177, 2012.178",2
"Imperial River, Kanglatongbi, Manipur, Assam",India,,,24.960332,93.901939,yes,High(74),,,"24.836155,93.883528,(g3)Manipur  Assam|Unavailable|118574|High(74)",Hemixos flavala,1949.76.182,1
Manipur,India,,,24.75,93.833333,yes,High(82),62568,"POLYGON ((93.7791776259511 25.3126697965214, 93.725440080903 25.3062092381894, 93.6725348359179 25.2954970291983, 93.6208696775368 25.2806157845261, 93.5708424434651 25.2616802349145, 93.5228378505659 25.2388363070829, 93.4772244439205 25.2122599558932, 93.4343516940548 25.1821557592376, 93.3945472674422 25.1487552885023, 93.3581144931144 25.1123152693664, 93.3253300457051 25.0731155494093, 93.2964418636307 25.0314568899479, 93.2716673113963 24.9876586045611, 93.2511916092035 24.9420560576733, 93.23516653519 24.8949980496588, 93.223709388094 24.8468441142201, 93.2169022473143 24.7979617383896, 93.21479150533 24.748723537594, 93.2173876810758 24.6995044039134, 93.2246655089193 24.6506786502512, 93.2365642973974 24.6026171720818, 93.2529885499948 24.555684647912, 93.2738088393443 24.5102367992553, 93.2988629207113 24.4666177286073, 93.327957073885 24.4251573532198, 93.3608676781173 24.3861689647262, 93.3973429580989 24.349946903143, 93.4371049447214 24.3167643936885, 93.4798515955077 24.2868715392311, 93.5252590728354 24.2604934891472, 93.5729841613023 24.2378287953086, 93.6226668073981 24.2190479657326, 93.6739327643904 24.2042922250794, 93.7263963251346 24.193672489804, 93.7796631253757 24.1872685643748, 93.833333 24.1851285635617, 93.8870028746243 24.1872685643748, 93.9402696748654 24.193672489804, 93.9927332356096 24.2042922250794, 94.0439991926019 24.2190479657326, 94.0936818386977 24.2378287953086, 94.1414069271646 24.2604934891472, 94.1868144044924 24.2868715392311, 94.2295610552786 24.3167643936885, 94.2693230419011 24.349946903143, 94.3057983218827 24.3861689647262, 94.338708926115 24.4251573532198, 94.3678030792887 24.4666177286073, 94.3928571606557 24.5102367992553, 94.4136774500052 24.555684647912, 94.4301017026026 24.6026171720818, 94.4420004910807 24.6506786502512, 94.4492783189242 24.6995044039134, 94.4518744946701 24.748723537594, 94.4497637526857 24.7979617383896, 94.442956611906 24.8468441142201, 94.43149946481 24.8949980496588, 94.4154743907965 24.9420560576732, 94.3949986886037 24.9876586045611, 94.3702241363693 25.0314568899479, 94.3413359542949 25.0731155494093, 94.3085515068856 25.1123152693664, 94.2721187325578 25.1487552885023, 94.2323143059452 25.1821557592376, 94.1894415560795 25.2122599558932, 94.1438281494341 25.2388363070829, 94.0958235565349 25.2616802349145, 94.0457963224632 25.2806157845261, 93.9941311640821 25.2954970291983, 93.941225919097 25.3062092381894, 93.8874883740489 25.3126697965214, 93.833333 25.3148288681774, 93.7791776259511 25.3126697965214))","25.621997,82.640132,MANIPUR|Unavailable|Unavailable|High(82),25.208295,83.984557,MANIPUR|Unavailable|Unavailable|High(82),24.948075,81.402671,MANIPUR|Unavailable|Unavailable|High(82),25.383149,83.926319,MANIPUR|Unavailable|Unavailable|High(82),25.481034,82.101691,MANIPUR|Unavailable|Unavailable|High(82),25.189676,83.466013,MANIPUR|Unavailable|Unavailable|High(82),24.801706,80.47892,MANIPUR|Unavailable|Unavailable|High(82),25.35395,80.354603,MANIPUR|Unavailable|Unavailable|High(82),24.75,93.833333,MANIPUR|Unavailable|Unavailable|High(82),30.315976,77.388617,MANIPUR|Unavailable|Unavailable|High(82),22.281944,88.911111,MANIPUR|Unavailable|Unavailable|High(82),24.81722,92.954619,MANIPUR|Unavailable|Unavailable|High(82),27.829293,78.345945,MANIPUR|Unavailable|Unavailable|High(82),26.609796,79.665193,MANIPUR|Unavailable|Unavailable|High(82),21.346106,78.001184,MANIPUR|Unavailable|Unavailable|High(82),25.57714,82.498353,MANIPUR|Unavailable|Unavailable|High(82),27.052721,79.358072,MANIPUR|Unavailable|Unavailable|High(82),25.923728,81.706253,MANIPUR|Unavailable|Unavailable|High(82),26.167184,81.669165,MANIPUR|Unavailable|Unavailable|High(82),25.969437,81.509504,MANIPUR|Unavailable|Unavailable|High(82),26.095622,82.346313,MANIPUR|Unavailable|Unavailable|High(82),25.046449,84.076917,MANIPUR|Unavailable|Unavailable|High(82),25.641044,84.309804,MANIPUR|Unavailable|Unavailable|High(82),21.09161,82.905846,MANIPUR|Unavailable|Unavailable|High(82),26.127344,81.637461,MANIPUR|Unavailable|Unavailable|High(82),26.368296,83.295984,MANIPUR|Unavailable|Unavailable|High(82),25.924477,81.310816,MANIPUR|Unavailable|Unavailable|High(82),26.598477,81.327491,MANIPUR|Unavailable|Unavailable|High(82),25.847924,80.80533,MANIPUR|Unavailable|Unavailable|High(82),26.269052,81.796057,MANIPUR|Unavailable|Unavailable|High(82),29.151646,78.67664,MANIPUR|Unavailable|Unavailable|High(82),25.469329,81.477235,MANIPUR|Unavailable|Unavailable|High(82),26.020347,81.883192,MANIPUR|Unavailable|Unavailable|High(82)",Hemixos flavala,86.9.1.1008,1
Noa Dihing,India,,,27.747399,95.755978,yes,High(85),,,"27.747399,95.755978,NOA DIHING|Unavailable|Unavailable|High(85)",Hemixos flavala,95.7.14.1263,1
"Isle Mahe, Seychelles",Seychelles,,,-4.691414,55.476886,no,Medium(66),unavailable,,"-4.691414,55.476886,(g3)Mahe  Seychelles|Unavailable|15209|Medium(66),-4.568503,55.482691,(g3)Seychelles|Unavailable|101840|Medium(60)",Hypsipetes crassirostris,1906.12.21.311,1
"Isle of Praslin, Seychelles","Seychelles, Seychelles, Seychelles",,,-4.31986,55.714278,yes,,,,,Hypsipetes crassirostris,"1906.12.21.318, 1906.12.21.317, 1906.12.21.314",3
Dinagat Island,"Philippines, Philippines",,,10.114406,125.586638,yes,,,,,Hypsipetes everetti,"88.4.1.327, 1977.16.58",2
Surigao,"Philippines, Philippines",,,9.781656,125.483298,yes,,,,,Hypsipetes everetti,"88.4.1.323, 88.4.1.322",2
"Daping, Fujian",China,,,25.939954,118.218575,yes,Low(36),Unavailable,,"27.298611,111.866667,DAPING|Unavailable|Unavailable|Low(36),33.852231,106.838106,DAPING|Unavailable|Unavailable|Low(36),25.749722,112.293056,DAPING|Unavailable|Unavailable|Low(36),32.511944,110.886111,DAPING|Unavailable|Unavailable|Low(36),34.579465,103.923581,DAPING|Unavailable|Unavailable|Low(36),35.970068,105.566691,DAPING|Unavailable|Unavailable|Low(36),26.025725,116.526893,DAPING|Unavailable|Unavailable|Low(36),23.858177,116.215135,DAPING|Unavailable|Unavailable|Low(36),27.381944,112.378889,DAPING|Unavailable|Unavailable|Low(36),25.810556,119.158056,DAPING|Unavailable|Unavailable|Low(36),22.9,111.2,DAPING|Unavailable|Unavailable|Low(36),26.708889,110.488611,DAPING|Unavailable|Unavailable|Low(36),25.557778,117.536667,DAPING|Unavailable|Unavailable|Low(36),25.706389,117.968611,DAPING|Unavailable|Unavailable|Low(36),25.756667,109.720833,DAPING|Unavailable|Unavailable|Low(36),23.570833,115.846944,DAPING|Unavailable|Unavailable|Low(36),33.585465,106.473167,DAPING|Unavailable|Unavailable|Low(36),23.606787,114.441542,DAPING|Unavailable|Unavailable|Low(36),30.357078,107.06008,DAPING|Unavailable|Unavailable|Low(36),22.679586,112.515412,DAPING|Unavailable|Unavailable|Low(36),32.00478,105.360979,DAPING|Unavailable|Unavailable|Low(36),31.4646,105.55139,DAPING|Unavailable|Unavailable|Low(36),31.779708,108.32873,DAPING|Unavailable|Unavailable|Low(36),31.993633,104.77448,DAPING|Unavailable|Unavailable|Low(36),31.748712,104.430021,DAPING|Unavailable|Unavailable|Low(36),26.600245,117.310279,DAPING|Unavailable|Unavailable|Low(36),26.508732,117.884351,DAPING|Unavailable|Unavailable|Low(36),23.389167,116.01,DAPING|Unavailable|Unavailable|Low(36),32.539133,104.179524,DAPING|Unavailable|Unavailable|Low(36),27.77974,105.474057,DAPING|Unavailable|Unavailable|Low(36),22.414194,111.569076,DAPING|Unavailable|Unavailable|Low(36),32.453144,105.087239,DAPING|Unavailable|Unavailable|Low(36),26.703,117.831531,DAPING|Unavailable|Unavailable|Low(36)",Hypsipetes leucocephalus,1905.12.24.541,1
"Fujian, South China",China,,,26.25,118,yes,Low(36),Unavailable,,"28.926509,106.129716,FUJIAN|Unavailable|Unavailable|Low(36),26.25,118,FUJIAN|Unavailable|Unavailable|Low(36),23.3478,109.674,FUJIAN|Unavailable|Unavailable|Low(36),28.926509,106.129716,FUJIAN|Unavailable|Unavailable|Low(36),35,105,CHINA|Unavailable|Unavailable|Low(35),35,105,CHINA|Unavailable|Unavailable|Low(35)",Hypsipetes leucocephalus,1918.6.25.63,1
Kuatun,China,,,27.737688,117.651142,yes,,,,,Hypsipetes leucocephalus,98.1.28.37,1
"Wuyishan National Park, Fujian, South China",China,,,27.759947,118.030659,no,Low(38),unavailable,,"27.759947,118.030659,WUYISHAN|Unavailable|Unavailable|Low(38),27.706516,118.016784,WUYISHAN|Unavailable|Unavailable|Low(38),28.004733,117.811377,WUYISHAN|Unavailable|Unavailable|Low(38),26.25,118,FUJIAN|Unavailable|Unavailable|Low(36),23.3478,109.674,FUJIAN|Unavailable|Unavailable|Low(36),28.926509,106.129716,FUJIAN|Unavailable|Unavailable|Low(36),28.926509,106.129716,FUJIAN|Unavailable|Unavailable|Low(36),35,105,CHINA|Unavailable|Unavailable|Low(35),35,105,CHINA|Unavailable|Unavailable|Low(35)",Hypsipetes leucocephalus,1900.1.18.504,1
Thenganee Sakan,Myanmar,,,16.554702,98.463033,yes,Low(35),Unavailable,,"21.316667,93.95,SAKAN|Unavailable|Unavailable|Low(35),22.190761,94.456899,SAKAN|Unavailable|Unavailable|Low(35),22.020603,94.434665,SAKAN|Unavailable|Unavailable|Low(35),21.316667,93.95,E SAKAN|Unavailable|Unavailable|Low(24)",Hypsipetes leucocephalus,86.9.1.935,1
Thowngyah,"Thailand, Thailand",,,15.881229,101.504072,yes,,,,,Hypsipetes leucocephalus,"86.9.1.933, 86..9.1.930",2
Tonghoo,Myanmar,,,18.942623,96.450018,yes,,,,,Hypsipetes leucocephalus,80.10.19.23,1
Lanandroka,Madagascar,,,-25.026731,44.076515,yes,Low(24),Unavailable,,"-25.130208,44.454527,ANDROKA|Unavailable|Unavailable|Low(24),-18.119308,44.18966,ANDROKA|Unavailable|Unavailable|Low(24),-17.505442,49.411078,ANDROKA|Unavailable|Unavailable|Low(24),-24.50926,46.99271,ANDROKA|Unavailable|Unavailable|Low(24),-25.026731,44.076515,ANDROKA|Unavailable|Unavailable|Low(24),-18.875706,45.27838,ANDROKA|Unavailable|Unavailable|Low(24),-23.808284,45.681957,ANDROKA|Unavailable|Unavailable|Low(24)",Hypsipetes madagascariensis,1931.8.18.2253,1
"Tabiky, SW Madagascar",Madagascar,,,-22.124758,44.251272,yes,Low(40),,,"-20,47,MADAGASCAR|Unavailable|Unavailable|Low(40),-20,47,MADAGASCAR|Unavailable|Unavailable|Low(40)",Hypsipetes madagascariensis,1931.8.18.2271,1
"Tsiandro, WC Madagascar",Madagascar,,,-18.74347,44.902683,yes,Low(40),Unavailable,,"-20,47,MADAGASCAR|Unavailable|Unavailable|Low(40),-20,47,MADAGASCAR|Unavailable|Unavailable|Low(40),-18.719764,44.952158,TSIANDRO|Unavailable|Unavailable|Low(38),-18.74347,44.902683,TSIANDRO|Unavailable|Unavailable|Low(38)",Hypsipetes madagascariensis,1931.8.18.2255,1
"Vondrozo, SE Magagascar",Madagascar,,,-22.820834,47.319774,no,Low(38),unavailable,,"-22.820834,47.319774,VONDROZO|Unavailable|Unavailable|Low(38),-23.359205,46.172998,VONDROZO|Unavailable|Unavailable|Low(38),-22.8333,47.3333,VONDROZO|Unavailable|Unavailable|Low(38)",Hypsipetes madagascariensis,1931.8.18.2277,1
Mauritius,Mauritius,,,-20.3,57.583333,no,High(84),unavailable,,"-20.3,57.583333,MAURITIUS|Unavailable|Unavailable|High(84),-20.2833,57.55,MAURITIUS|Unavailable|Unavailable|High(84),-20.3,57.5833,MAURITIUS|Unavailable|Unavailable|High(84)",Hypsipetes olivaceus,55.12.19.296,1
"Catbalogan, Samar",Philippines,,,11.774312,124.879159,no,Medium(60),unavailable,,"11.774312,124.879159,(g3)Catbalogan|Unavailable|1791|Medium(60)",Hypsipetes philippinus,96.6.6.304,1
Cebu,Philippines,,,10.311111,123.891667,yes,High(79),Unavailable,,"14.463389,121.002733,CEBU|Unavailable|Unavailable|High(79),14.444931,120.978494,CEBU|Unavailable|Unavailable|High(79),14.319627,121.078253,CEBU|Unavailable|Unavailable|High(79),10.333333,123.75,CEBU|Unavailable|Unavailable|High(79),10.321272,123.75461,CEBU|Unavailable|Unavailable|High(79),10.3,123.9,CEBU|Unavailable|Unavailable|High(79),14.437444,121.029016,CEBU|Unavailable|Unavailable|High(79),10.321,123.754,CEBU|Unavailable|Unavailable|High(79),10.311,123.891,CEBU|Unavailable|Unavailable|High(79),10.3,123.9,CEBU|Unavailable|Unavailable|High(79),16.751874,121.596099,CEBU|Unavailable|Unavailable|High(79),10.311111,123.891667,CEBU|Unavailable|Unavailable|High(79),16.781784,121.587343,CEBU|Unavailable|Unavailable|High(79)",Hypsipetes philippinus,88.4.1.339,1
S. Leyte,Philippines,,,10.436592,124.988116,yes,Low(35),,,"11.3697,124.4873,LEYTE|Unavailable|Unavailable|Low(35),10.833333,124.833333,LEYTE|Unavailable|Unavailable|Low(35),11.366667,124.5,LEYTE|Unavailable|Unavailable|Low(35),11.3556,124.4758,LEYTE|Unavailable|Unavailable|Low(35),11.002,124.857,LEYTE|Unavailable|Unavailable|Low(35),11.3833,124.4833,LEYTE|Unavailable|Unavailable|Low(35),11.002682,124.857732,LEYTE|Unavailable|Unavailable|Low(35),10.8333,124.8333,LEYTE|Unavailable|Unavailable|Low(35)",Hypsipetes philippinus,88.4.1.343,1
San Mateo,Philippines,,,14.683333,121.15,yes,High(84),Unavailable,,"14.0081,121.4013,SAN MATEO|Unavailable|Unavailable|High(84),14.1116,121.2991,SAN MATEO|Unavailable|Unavailable|High(84),11.631667,125.3925,SAN MATEO|Unavailable|Unavailable|High(84),11.3,124.7,SAN MATEO|Unavailable|Unavailable|High(84),6.933333,122.016667,SAN MATEO|Unavailable|Unavailable|High(84),18.0499,120.6072,SAN MATEO|Unavailable|Unavailable|High(84),14.6982,121.1236,SAN MATEO|Unavailable|Unavailable|High(84),7.176389,124.5775,SAN MATEO|Unavailable|Unavailable|High(84),14.683333,121.15,SAN MATEO|Unavailable|Unavailable|High(84),8.786944,125.594722,SAN MATEO|Unavailable|Unavailable|High(84),13.987778,122.298611,SAN MATEO|Unavailable|Unavailable|High(84),17.13754,121.745344,SAN MATEO|Unavailable|Unavailable|High(84),10.661,122.0763,SAN MATEO|Unavailable|Unavailable|High(84),7.149444,124.583056,SAN MATEO|Unavailable|Unavailable|High(84),14.8742,121.1283,SAN MATEO|Unavailable|Unavailable|High(84),16.881986,121.584372,SAN MATEO|Unavailable|Unavailable|High(84),14.317251,120.968703,SAN MATEO|Unavailable|Unavailable|High(84),17.294536,121.804652,SAN MATEO|Unavailable|Unavailable|High(84),14.567703,121.06058,SAN MATEO|Unavailable|Unavailable|High(84),14.638193,120.973338,SAN MATEO|Unavailable|Unavailable|High(84),14.570292,121.020321,SAN MATEO|Unavailable|Unavailable|High(84),15.200082,120.794599,SAN MATEO|Unavailable|Unavailable|High(84),16.866667,121.583333,SAN MATEO|Unavailable|Unavailable|High(84),11.803333,125.434167,SAN MATEO|Unavailable|Unavailable|High(84),15.833333,120.65,SAN MATEO|Unavailable|Unavailable|High(84),18.244,120.5547,SAN MATEO|Unavailable|Unavailable|High(84),18.1722,120.6299,SAN MATEO|Unavailable|Unavailable|High(84)",Hypsipetes philippinus,88.4.1.335,1
Basilan,"Philippines, Philippines",,,6.56667,122.020024,yes,,,,,Hypsipetes rufigularis,"88.4.1.331, 88.4.1.332",2
Zamboango,Philippines,,,7.152615,122.116154,yes,,,,,Hypsipetes rufigularis,88.4.1.329,1
"GUNONG, SIDONG, SAMARAHAN, SARAWAK",Malaysia,,,1.156267,110.57392,yes,Low(37),Unavailable,,"2.5,113.5,SARAWAK|Unavailable|Unavailable|Low(37),1.5333,110.3333,SARAWAK|Unavailable|Unavailable|Low(37),5.9713,102.360855,GUNONG|Unavailable|Unavailable|Low(36),6.192983,100.346052,GUNONG|Unavailable|Unavailable|Low(36),5.983333,102.35,GUNONG|Unavailable|Unavailable|Low(36)",Iole charlottae,1927.4.18.564,1
"MT. KALULONG, SARAWAK, BORNEO",Malaysia,,,3.216991,114.648824,yes,Low(37),Unavailable,,"2.5,113.5,SARAWAK|Unavailable|Unavailable|Low(37),1.5333,110.3333,SARAWAK|Unavailable|Unavailable|Low(37),1,114,BORNEO|Unavailable|Unavailable|Low(36),4,115,BORNEO|Unavailable|Unavailable|Low(36)",Iole charlottae,1893.7.2.65,1
"MT.DULIT, SARAWAK",Malaysia,,,3.32916,114.149278,yes,Low(37),,,"2.5,113.5,SARAWAK|Unavailable|Unavailable|Low(37),1.5333,110.3333,SARAWAK|Unavailable|Unavailable|Low(37)",Iole charlottae,1900.2.15.28,1
SARAWAK,Malaysia,,,2.5,113.5,yes,High(82),,,"2.5,113.5,SARAWAK|Unavailable|Unavailable|High(82),1.5333,110.3333,SARAWAK|Unavailable|Unavailable|High(82)",Iole charlottae,1888.4.1.312,1
"Iwahig, Palawan",Philippines,,,9.750278,118.661667,yes,Low(37),Unavailable,,"11.0366,124.3964,PALAWAN|Unavailable|Unavailable|Low(37),9.5,118.5,PALAWAN|Unavailable|Unavailable|Low(37),8.633333,123.4,PALAWAN|Unavailable|Unavailable|Low(37),11.8921,121.5455,PALAWAN|Unavailable|Unavailable|Low(37),16.7304,121.7353,PALAWAN|Unavailable|Unavailable|Low(37),10.7891,124.555,PALAWAN|Unavailable|Unavailable|Low(37),10.066713,118.905002,PALAWAN|Unavailable|Unavailable|Low(37),16.724039,121.847291,PALAWAN|Unavailable|Unavailable|Low(37),14.417578,121.030226,PALAWAN|Unavailable|Unavailable|Low(37),10.066,118.905,PALAWAN|Unavailable|Unavailable|Low(37),9.5,118.5,PALAWAN|Unavailable|Unavailable|Low(37),14.632553,121.001169,PALAWAN|Unavailable|Unavailable|Low(37),16.704815,121.850321,PALAWAN|Unavailable|Unavailable|Low(37),9.282778,118.075556,IWAHIG|Unavailable|Unavailable|Low(36),9.750278,118.661667,IWAHIG|Unavailable|Unavailable|Low(36),9.735278,118.697778,IWAHIG|Unavailable|Unavailable|Low(36),9.300278,118.067222,IWAHIG|Unavailable|Unavailable|Low(36),8.599167,117.516667,IWAHIG|Unavailable|Unavailable|Low(36),8.614118,117.517795,IWAHIG|Unavailable|Unavailable|Low(36)",Iole palawanensis,1911.11.16.238,1
Palawan,"Philippines, Philippines",,,9.409152,118.344183,yes,,,,,Iole palawanensis,"88.4.1.442, 94.8.6.87",2
Palawan Island,Philippines,,,9.5,118.5,yes,High(89),,,"9.5,118.5,PALAWAN ISLAND|Unavailable|Unavailable|High(89),9.532505,118.543945,(g3)PALAWAN ISLAND|Unavailable|257633|Medium(64)",Iole palawanensis,88.4.1.443,1
Nape,Laos,,,18.307081,105.081917,yes,,,,,Iole propinqua,1926.6.26.907,1
"Pang Ton Phung, North Siam",Thailand,,,17.807596,100.067876,yes,Low(34),,,"18.111278,98.891306,PANG|Unavailable|Unavailable|Low(34),15.5,101,SIAM|Unavailable|Unavailable|Low(34),15,100,SIAM|Unavailable|Unavailable|Low(34)",Iole propinqua,1955.1.5515,1
15 miles S of Benin,Nigeria,,,6.119866,5.625749,no,High(80),unavailable,,"6.119866,5.625749,Distance South of BENIN|Unavailable|Unavailable|High(80),5.540578,5.072606,Distance South of BENIN|Unavailable|Unavailable|High(80),6.125713,5.627,Distance South of BENIN|Unavailable|Unavailable|High(80)",Ixonotus guttatus,1966.16.1193,1
